序号,资料组,归档内路径,页数,提取字符数,文本可检索性,PDF标题,作者
70,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_10_1974.pdf,47,96839,可全文检索,,
71,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_11_1974.pdf,72,148198,可全文检索,,
72,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_12_1975.pdf,60,105262,可全文检索,,
73,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_13_1977.pdf,76,134061,可全文检索,,
74,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_14_1977.pdf,65,105795,可全文检索,,
75,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_15_1978.pdf,90,158833,可全文检索,,
76,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_16_1979.pdf,71,111404,可全文检索,,
77,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_17_1981.pdf,98,192859,可全文检索,,
78,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_18_1982.pdf,106,189392,可全文检索,,
79,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_19_1982.pdf,75,162941,可全文检索,,
80,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_20_1984.pdf,78,126239,可全文检索,,
81,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_22_1985.pdf,65,115936,可全文检索,,
82,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_23_1986_Dialogovye_MK_systemy.pdf,152,332786,可全文检索,,
83,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_24_1987.pdf,40,73023,可全文检索,,
84,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_25_1988_Upravlenie_pereferyei.pdf,174,284907,可全文检索,,
85,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_27_1995.pdf,31,50530,可全文检索,,
86,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_29_1998.pdf,70,121821,可全文检索,,
87,TrinaryWiki资料,TrinaryWiki/!_setun_mirrored_-_Setun_Reflections.pdf,26,71428,可全文检索,,
88,TrinaryWiki资料,TrinaryWiki/20080217060743!American_Scientist_Online_-_Third_Base.pdf,7,26093,可全文检索,American Scientist Online - Third Base,Brian Hayes
89,TrinaryWiki资料,TrinaryWiki/20080319171346!Spring_2008_Schedule.pdf,1,1172,可全文检索,Microsoft Office Project - Spring 2008 Schedule.mpp,_
90,TrinaryWiki资料,TrinaryWiki/20080402211245!Spring_2008_Schedule.pdf,1,1247,可全文检索,Microsoft Office Project - Spring 2008 Schedule.mpp,_
91,TrinaryWiki资料,TrinaryWiki/20080403031812!Spring_2008_Schedule.pdf,1,1729,可全文检索,Microsoft Office Project - Spring 2008 Schedule.mpp,_
92,TrinaryWiki资料,TrinaryWiki/20080405023306!Spring_2008_Schedule.pdf,1,1935,可全文检索,Microsoft Office Project - Spring 2008 Schedule.mpp,_
93,TrinaryWiki资料,TrinaryWiki/54_Honors_Research_Original_Ternary_Computing_Testbed_Proposal.pdf,2,4852,可全文检索,Cal Poly Service Learning Project Match,honorstudent
94,TrinaryWiki资料,TrinaryWiki/A6-merrill_Ternary_Logic_in_Digital_Computers.pdf,17,19585,可全文检索,,
95,TrinaryWiki资料,TrinaryWiki/American_Scientist_Online_-_Third_Base.pdf,6,27418,可全文检索,01-11 Hayes,Barbara Aulicino
96,TrinaryWiki资料,TrinaryWiki/Communications_of_the_ACM_-_Soviet_Computer_Technology_-_1959.pdf,2,7300,可全文检索,Communications of the ACM - Soviet Computer Technology - 1959,Jeff Connelly
97,TrinaryWiki资料,"TrinaryWiki/EE347_Prelab_2,_MOSFET_Inverters_with_Negative_Input_Voltages.pdf",4,1240,可全文检索,,
98,TrinaryWiki资料,TrinaryWiki/ELECTRONICS_LETTERS_17th_October_1974_Vol._10_No._21_-_IMPLEMENTATION_OF_3-VALUED_LOGIC_WITH_C.O.S._M.O.S._INTEGRATED_CIRCUITS.pdf,2,7512,可全文检索,,
99,TrinaryWiki资料,TrinaryWiki/ENTI_Schematic.pdf,1,191,少量文本/以图为主,SCHEMATIC1 : PAGE1,hp
100,TrinaryWiki资料,TrinaryWiki/ENTI_Simulation_Results.pdf,1,299,少量文本/以图为主,earthed negative ternary invert,hp
